# Int	Sequence
0	0.100101010
1	0.101101010
2	0.101001010
3	0.101011010
4	0.101010010
5	0.101010110
6	0.101010100
7	0.101010101
8	0.001010101
9	0.011010101
10	0.010010101
11	0.010110101
12	0.010100101
13	0.010101101
14	0.010101001
15	0.010101011
16	1.010101010
17	1.110101010
18	1.100101010
19	1.101101010
20	1.101001010
21	1.101011010
22	1.101010010
23	1.101010110
24	1.101010100
25	1.101010101
26	1.001010101
27	1.010101011
28	1.011010101
29	1.010010101
30	1.010110101
31	1.010100101
32	1.010101101
33	1.010101001
34	2.010101010
35	2.110101010
36	2.100101010
37	2.101101010
38	2.101001010
39	2.101011010
40	2.101010010
41	2.101010110
42	2.101010100
43	2.101010101
44	2.001010101
45	2.011010101
46	2.010101011
47	2.010010101
48	2.010110101
49	2.010100101
50	2.010101101
51	2.010101001
52	3.010101010
53	3.110101010
54	3.100101010
55	3.101101010
56	3.101001010
57	3.101011010
58	3.101010010
59	3.101010110
60	3.101010100
61	3.101010101
62	3.001010101
63	3.010101011
64	3.011010101
65	3.010010101
66	3.010110101
67	3.010100101
68	3.010101101
69	3.010101001
70	4.010101011
71	4.010101010
